member of the crew of, <subject> is a member of the crew of <object>., Question: <subject> is a member of the crew of what? Answer: <object>., <object>
basic form of government, The basic form of government of <subject> is <object>., Question: What is the basic form of government of <subject>? Answer: <object>., <object>
stepparent, <subject> is the stepparent of <object>., Question: <subject> is the stepparent of who? Answer: <object>., <object>
has contributing factor, <object> is a contributing factor to <subject>., Question: <object> is a contributing factor to What? Answer: <subject>., <subject>
discoverer or inventor, <subject> is the discoverer or inventor of <object>., Question: Who is the discoverer or inventor of <object>? Answer: <subject>., <subject>
board member, <subject> serves as a board member of <object>., Question: <subject> serves as a board member of what? Answer: <object>., <object>
member of military unit, <subject> is a member of the military unit <object>., Question: <subject> is a member of the military unit of what? Answer: <object>., <object>
editor, <subject> is the editor of <object>., Question: Who is is the editor of <object>? Answer: <subject>., <subject>
nominated for, <subject> was nominated for <object>., Question: Who was nominated for <object>? Answer: <subject>., <subject>
presenter, <subject> is the presenter of <object>., Question: Who is the presenter of <object>? Answer: <subject>., <subject>
replaces, <subject> replaces <object>., Question: Whom did <subject> replace? Answer: <object>., <object>
chairperson, <subject> serves as the chairperson of <object>., Question: Who serves as the chairperson of <object>? Answer: <subject>., <subject>
country of citizenship, <subject>'s country of citizenship is <object>., Question: What is <subject>'s country of citizenship? Answer: <object>., <object>
place of death, <subject>'s place of death is <object>., Question: Where is <subject>'s place of death? Answer: <object>., <object>
participant in, <subject> was a participant in <object>., Question: Who was a participant in <object>? Answer: <subject>., <subject>
replaced by, <subject> was replaced by <object>., Question: What was <subject> replaced by? Answer: <object>., <object>
languages spoken written or signed, <subject> speaks the following languages: <object>., Question: What language does <subject> speaks? Answer: <object>., <object>
location, The location of <subject> is <object>., Question: Where is the location of <subject>? Answer: <object>., <object>
language of work or name, The language of <subject>'s work or name is <object>., Question: What is the language of <subject>'s work or name? Answer: <object>., <object>
position held, <subject> holds the position of <object>., Question: What position does <subject> hold? Answer: <object>., <object>
country for sport, <subject> represents <object> in sports competitions., Question: Who represents <object> in sports competitions? Answer: <subject>., <subject>
unmarried partner, <subject> is the unmarried partner of <object>., Question: Who is the unmarried partner of <subject>? Answer: <object>., <object>
member of sports team, <subject> is a member of the sports team <object>., Question: <subject> is a member of which sports team? Answer: <object>., <object>
notable work, <subject>'s notable work includes <object>., Question: What is a notable work of <subject>? Answer: <object>., <object>
residence, <subject>'s residence is in <object>., Question: Where is the residence of <subject>? Answer: <object>., <object>
located in the administrative territorial entity, <subject> is located in the administrative territorial entity <object>., Question: In which administrative territorial entity is <subject> located? Answer: <object>., <object>
